date,state,number_of_cases
2020-06-08,Maharashtra,0
2020-06-08,Tamil Nadu,0
2020-06-08,Delhi,0
2020-06-08,Gujarat,0
2020-06-08,Rajasthan,36
2020-06-08,Uttar Pradesh,0
2020-06-08,Madhya Pradesh,0
2020-06-08,West Bengal,0
2020-06-08,Unknown*,0
2020-06-08,Karnataka,0
2020-06-08,Bihar,105
2020-06-08,Andhra Pradesh,94
2020-06-08,Haryana,0
2020-06-08,Jammu and Kashmir,0
2020-06-08,Telangana,0
2020-06-08,Odisha,0
2020-06-08,Assam,11
2020-06-08,Punjab,0
2020-06-08,Kerala,0
2020-06-08,Uttarakhand,0
2020-06-08,Jharkhand,0
2020-06-08,Chhattisgarh,0
2020-06-08,Tripura,0
2020-06-08,Himachal Pradesh,2
2020-06-08,Chandigarh,3
2020-06-08,Goa,0
2020-06-08,Manipur,37
2020-06-08,Puducherry,5
2020-06-08,Nagaland,5
2020-06-08,Ladakh,0
2020-06-08,Arunachal Pradesh,0
2020-06-08,Mizoram,8
2020-06-08,Andaman and Nicobar Islands,0
2020-06-08,Meghalaya,0
2020-06-08,Dadra and Nagar Haveli,0
2020-06-08,Sikkim,0
2020-06-08,Lakshadweep,0
2020-06-08,Daman and Diu,0
